Pressure,Temperature,Salinity
6.1,8.849,34.724
6.9,8.825,34.725
8.0,8.785,34.733
9.3,8.763,34.735
10.1,8.726,34.741
15.6,8.363,34.776
25.8,8.076,34.791
35.9,7.727,34.797
44.9,7.087,34.801
55.2,6.408,34.79
65.4,5.904,34.742
75.5,5.605,34.748
85.5,5.788,34.818
95.5,5.714,34.834
105.4,5.601,34.838
115.2,5.336,34.814
125.3,5.321,34.834
135.4,5.303,34.85
145.5,5.313,34.866
155.8,5.256,34.87
166.1,5.22,34.877
175.3,5.176,34.886
185.1,5.187,34.899
195.5,5.188,34.903
205.7,5.198,34.909
215.8,5.208,34.913
225.5,5.231,34.919
235.1,5.253,34.925
245.4,5.253,34.928
255.3,5.25,34.928
265.5,5.252,34.93
275.7,5.265,34.933
285.5,5.241,34.931
295.4,5.246,34.934
305.5,5.263,34.939
315.7,5.259,34.94
325.3,5.236,34.939
335.8,5.182,34.933
345.4,5.145,34.93
355.4,5.083,34.924
365.4,5.042,34.92
375.4,4.998,34.916
385.7,4.961,34.913
395.4,4.881,34.904
405.1,4.804,34.897
415.5,4.79,34.901
425.8,4.777,34.901
435.8,4.751,34.901
445.6,4.708,34.899
455.2,4.668,34.899
465.3,4.644,34.901
475.5,4.643,34.901
485.6,4.634,34.902
495.6,4.624,34.904
511.2,4.585,34.907
530.4,4.526,34.908
550.5,4.525,34.916
570.6,4.495,34.916
590.6,4.462,34.915
610.4,4.466,34.921
630.1,4.427,34.919
650.0,4.407,34.919
670.4,4.379,34.919
690.7,4.324,34.917
710.7,4.275,34.914
731.5,4.218,34.912
750.5,4.191,34.912
770.5,4.15,34.91
790.7,4.119,34.909
810.5,4.093,34.908
830.4,4.079,34.907
851.4,4.055,34.907
870.5,4.024,34.906
890.5,3.998,34.906
910.6,3.981,34.907
930.8,3.957,34.907
950.6,3.946,34.908
970.3,3.935,34.908
990.4,3.908,34.91
1010.6,3.881,34.911
1030.4,3.868,34.912
1051.1,3.847,34.912
1070.3,3.816,34.912
1090.3,3.789,34.913
1110.3,3.779,34.913
1130.5,3.772,34.914
1150.2,3.757,34.915
1170.2,3.742,34.915
1190.2,3.73,34.916
1210.2,3.725,34.917
1230.4,3.701,34.919
1250.4,3.695,34.923
1270.4,3.677,34.925
1291.4,3.645,34.926
1310.3,3.622,34.927
1330.2,3.592,34.926
1350.5,3.58,34.928
1370.2,3.563,34.93
1390.9,3.564,34.931
1410.2,3.556,34.934
1430.0,3.541,34.934
1450.0,3.517,34.933
1470.3,3.463,34.928
1490.6,3.476,34.934
1511.3,3.478,34.938
1530.3,3.49,34.942
1550.6,3.482,34.941
1570.2,3.476,34.941
1590.5,3.447,34.94
1610.5,3.436,34.94
1630.2,3.405,34.937
1650.4,3.389,34.937
1670.7,3.353,34.934
1690.5,3.336,34.933
1710.5,3.319,34.933
1730.8,3.307,34.935
1750.6,3.314,34.937
1770.7,3.253,34.93
1790.6,3.212,34.927
1810.5,3.212,34.931
1830.3,3.203,34.934
1850.8,3.203,34.938
1870.1,3.213,34.944
1890.3,3.203,34.946
1910.2,3.192,34.948
1930.2,3.184,34.948
1950.5,3.175,34.949
1971.4,3.17,34.949
1990.4,3.168,34.95
2010.1,3.162,34.951
2030.2,3.159,34.953
2050.3,3.156,34.954
2069.9,3.15,34.956
2090.3,3.146,34.957
2110.7,3.139,34.957
2131.4,3.132,34.959
2150.4,3.121,34.959
2170.8,3.116,34.96
2190.4,3.11,34.96
2210.6,3.108,34.96
2231.3,3.109,34.96
2250.3,3.103,34.96
2270.1,3.1,34.961
2290.3,3.098,34.96
2310.5,3.096,34.961
2330.3,3.089,34.961
2350.4,3.083,34.961
2370.6,3.079,34.961
2390.1,3.077,34.961
2410.2,3.077,34.961
2430.3,3.078,34.961
2450.5,3.078,34.961
2470.2,3.078,34.961
2490.2,3.079,34.961
2510.6,3.079,34.961
2530.5,3.076,34.961
2550.6,3.074,34.961
2570.6,3.074,34.961
2591.3,3.074,34.961
2610.1,3.073,34.961
2630.1,3.069,34.961
2650.2,3.062,34.96
2670.3,3.057,34.96
2690.3,3.05,34.959
2710.4,3.041,34.959
2730.6,3.041,34.959
2750.5,3.035,34.959
2770.3,3.029,34.958
2790.2,3.023,34.958
2810.0,3.02,34.958
2830.3,3.022,34.958
2850.6,3.025,34.957
2870.5,3.015,34.957
2890.2,3.017,34.957
2910.4,3.008,34.956
2930.9,2.991,34.955
2947.1,2.977,34.954
